feature,n_setup,n_control,test,pvalue,cohens_d,rank_biserial,ks_stat,qvalue,significant
ret_std_42,11135,8107,cluster_robust_t,1.3173271361225906e-09,0.18179225442833843,-0.09760365528656378,0.07544254996693578,2.089553388332385e-09,True
zero_cross_126,10758,8103,cluster_robust_t,4.845950024850262e-09,-0.1624655925898939,0.08276391359003343,0.05876989917665598,7.556396648919053e-09,True
up_vs_down_vol_extreme_42,11085,8099,cluster_robust_t,5.048169497812346e-09,-0.10369343009306463,0.14269099862142387,0.11104492148721368,7.740526563312264e-09,True
ma_compression,11105,8107,cluster_robust_t,7.590847207905437e-09,0.10350013055346524,-0.08327627438214247,0.07335530903166099,1.1448490870939347e-08,True
ret_autocorr1_126,10750,8103,cluster_robust_t,2.3124672642397257e-08,0.15176931159220447,-0.09230479667306679,0.07174803475026481,3.431403037258948e-08,True
ret_std_21,11241,8107,cluster_robust_t,5.152143056484597e-08,0.14407432426842076,-0.07559882040742161,0.05770614051648637,7.523764463437824e-08,True
updown_vol_42,11131,8105,cluster_robust_t,7.133204570290016e-08,-0.0985931562328914,0.29333129971256444,0.22747387666514934,1.0253981569791899e-07,True
range_tightness,10754,8103,cluster_robust_t,1.3051630953243576e-07,-0.09038705662494799,0.0898502337546363,0.08193963387188719,1.8473077656898601e-07,True
up_vs_down_vol_extreme_63,11007,8107,cluster_robust_t,4.46597809077101e-07,-0.08505060211314162,0.10431419843180634,0.08228455133046136,6.225302793195954e-07,True
cmf_63,11043,8107,cluster_robust_t,9.356122588576019e-07,-0.1513227478570348,0.12637772741676423,0.12092230467126386,1.2847213106701398e-06,True
atr_pct_126,10754,8103,cluster_robust_t,2.3792690564577076e-06,0.08258569885583777,-0.12689875937320028,0.11539857705667944,3.2190110763839575e-06,True
vol_trend_63,11043,8107,cluster_robust_t,3.295417977642531e-06,-0.07021871177821959,0.043258810404411596,0.04426780670257663,4.393890636856708e-06,True
atr_pct_63,11037,8107,cluster_robust_t,1.6121664447126975e-05,0.0714884121130873,-0.11562828146629345,0.10961922610713659,2.1188473273366882e-05,True
atr_pct_42,11133,8107,cluster_robust_t,6.095718434132787e-05,0.06544825764956938,-0.10561746831050711,0.1019593534694958,7.898677407608683e-05,True
atr_pct_21,11230,8107,cluster_robust_t,0.000481121699705138,0.054455597585033336,-0.08381036978585943,0.08517634958344866,0.0006147666162898986,True
up_vs_down_vol_extreme_126,10731,8103,cluster_robust_t,0.001047220980891957,-0.05314439566364452,0.06243221863949422,0.04979763101093826,0.0013197853457816444,True
perm_entropy_126,10758,8103,cluster_robust_t,0.002795343419254729,-0.09714703423451988,0.02158206078703595,0.0343694013750321,0.003475291818532906,True
perm_entropy_63,11043,8107,cluster_robust_t,0.0037316161770605924,-0.08757933416187982,0.02965693578532913,0.030330821236262913,0.004577449177194326,True
vol_trend_126,10758,8103,cluster_robust_t,0.003944309486243194,-0.04102957401836752,0.02597560085584294,0.023160846213203523,0.004774690430715446,True
vol_ratio_126,10138,8096,cluster_robust_t,0.00958201741434715,0.03991413274998567,0.011998952498992188,0.02516361172343401,0.011448644183375815,True
vol_trend_42,11135,8107,cluster_robust_t,0.020415003280507188,-0.038039955955083596,0.021761277888040942,0.038650882347125354,0.02407923463854694,True
vol_autocorr1_63,11043,8107,cluster_robust_t,0.02518157870119545,-0.047727236828411464,0.03062693765105251,0.03161952523502193,0.029325382791265585,True
vol_ratio_63,10758,8103,cluster_robust_t,0.05187461862351018,0.02619927656785654,0.021134337127277747,0.026181836628092592,0.0596558114170367,False
cmf_126,10758,8103,cluster_robust_t,0.06671871787489123,-0.06282441960459625,0.08062578618927896,0.08998977126550861,0.07577928449987645,False
vol_autocorr1_126,10758,8103,cluster_robust_t,0.09023053926031654,-0.040707241770046344,0.025966492434262856,0.031224896633754495,0.10123426356035516,False
tight_days_share_42,9243,7360,cluster_robust_t,0.2041885977364309,0.03328692641865759,-0.01846100339152068,0.01762307492391424,0.22632953002110412,False
vol_ratio_21,11135,8107,cluster_robust_t,0.21874168670160152,-0.018437413708665636,0.037013642575456696,0.04130455649624304,0.23957422829223027,False
tight_days_share_63,9191,7350,cluster_robust_t,0.24191561688504618,0.029809795884959307,-0.013784218071952958,0.01703094642274272,0.26183807945204995,False
vol_contraction_126,10737,8100,cluster_robust_t,0.27700045751833635,0.014098552014448446,0.03802224222919015,0.04785601192139333,0.2963260708335691,False
tight_days_share_21,9151,7289,cluster_robust_t,0.28183879772951087,0.02936155732099771,-0.017546435403184013,0.016722287738686614,0.29803642978293104,False
vol_contraction_21,11158,8079,cluster_robust_t,0.31969392842753014,0.012430231021081723,0.008744997336638582,0.03666610823601785,0.3342254706287815,False
vol_ratio_42,10957,8104,cluster_robust_t,0.425172913592945,-0.009703814017363003,0.0440156738524039,0.039428832497059974,0.43950458483765104,False
tight_days_share_126,9129,7409,cluster_robust_t,0.4304600643218253,0.020870296906680588,-0.008741622030067342,0.010113479561802197,0.44002584352897695,False
vol_contraction_63,11022,8099,cluster_robust_t,0.992742514273488,0.0001581443806651565,0.06518364454178216,0.05935087362120933,0.992742514273488,False
vol_contraction_42,11096,8093,cluster_robust_t,0.9914689339516192,0.00020044737066179133,0.0740086784924816,0.07415285455462725,0.992742514273488,False
